Year	Annual CO2 emissions (metric tons)	Annual Temperature Relative to the 1961-1990 Mean (degrees C)
1751	3	
1752	3	
1753	3	
1754	3	
1755	3	
1756	3	
1757	3	
1758	3	
1759	3	
1760	3	
1761	3	
1762	3	
1763	3	
1764	3	
1765	3	
1766	3	
1767	3	
1768	3	
1769	3	
1770	3	
1771	4	
1772	4	
1773	4	
1774	4	
1775	4	
1776	4	
1777	4	
1778	4	
1779	4	
1780	4	
1781	5	
1782	5	
1783	5	
1784	5	
1785	5	
1786	5	
1787	5	
1788	5	
1789	5	
1790	5	
1791	6	
1792	6	
1793	6	
1794	6	
1795	6	
1796	6	
1797	7	
1798	7	
1799	7	
1800	8	
1801	8	
1802	10	
1803	9	
1804	9	
1805	9	
1806	10	
1807	10	
1808	10	
1809	10	
1810	10	
1811	11	
1812	11	
1813	11	
1814	11	
1815	12	
1816	13	
1817	14	
1818	14	
1819	14	
1820	14	
1821	14	
1822	15	
1823	16	
1824	16	
1825	17	
1826	17	
1827	18	
1828	18	
1829	18	
1830	24	
1831	23	
1832	23	
1833	24	
1834	24	
1835	25	
1836	29	
1837	29	
1838	30	
1839	31	
1840	33	
1841	34	
1842	36	
1843	37	
1844	39	
1845	43	
1846	43	
1847	46	
1848	47	
1849	50	
1850	54	-0.375
1851	54	-0.223
1852	57	-0.224
1853	59	-0.271
1854	69	-0.246
1855	71	-0.271
1856	76	-0.352
1857	77	-0.46
1858	78	-0.466
1859	83	-0.286
1860	91	-0.346
1861	95	-0.409
1862	97	-0.522
1863	104	-0.276
1864	112	-0.49
1865	119	-0.27
1866	122	-0.245
1867	130	-0.314
1868	135	-0.231
1869	142	-0.262
1870	147	-0.275
1871	156	-0.333
1872	173	-0.227
1873	184	-0.303
1874	174	-0.374
1875	188	-0.397
1876	191	-0.38
1877	194	-0.076
1878	196	0.035
1879	210	-0.232
1880	236	-0.229
1881	243	-0.206
1882	256	-0.215
1883	272	-0.295
1884	275	-0.408
1885	277	-0.391
1886	281	-0.369
1887	295	-0.419
1888	327	-0.312
1889	327	-0.173
1890	356	-0.419
1891	372	-0.338
1892	374	-0.457
1893	370	-0.474
1894	383	-0.406
1895	406	-0.393
1896	419	-0.189
1897	440	-0.211
1898	465	-0.416
1899	507	-0.291
1900	534	-0.2
1901	552	-0.265
1902	566	-0.407
1903	617	-0.485
1904	624	-0.526
1905	663	-0.382
1906	707	-0.288
1907	784	-0.47
1908	750	-0.516
1909	785	-0.53
1910	819	-0.494
1911	836	-0.547
1912	879	-0.44
1913	943	-0.428
1914	850	-0.248
1915	838	-0.151
1916	901	-0.388
1917	955	-0.467
1918	936	-0.335
1919	806	-0.275
1920	932	-0.246
1921	803	-0.187
1922	845	-0.302
1923	970	-0.272
1924	963	-0.293
1925	975	-0.213
1926	983	-0.106
1927	1062	-0.21
1928	1065	-0.208
1929	1145	-0.35
1930	1053	-0.136
1931	940	-0.083
1932	847	-0.134
1933	893	-0.269
1934	973	-0.126
1935	1027	-0.173
1936	1130	-0.141
1937	1209	-0.024
1938	1142	-0.003
1939	1192	-0.047
1940	1299	0.02
1941	1334	0.021
1942	1342	-0.023
1943	1391	0.001
1944	1383	0.152
1945	1160	0.03
1946	1238	-0.07
1947	1392	-0.04
1948	1469	-0.037
1949	1419	-0.071
1950	1630	-0.172
1951	1767	-0.052
1952	1795	0.03
1953	1841	0.097
1954	1865	-0.132
1955	2043	-0.19
1956	2177	-0.265
1957	2270	-0.005
1958	2330	0.046
1959	2454	0.016
1960	2569	-0.049
1961	2580	0.039
1962	2686	0.016
1963	2833	0.048
1964	2995	-0.222
1965	3130	-0.141
1966	3288	-0.07
1967	3393	-0.076
1968	3566	-0.113
1969	3780	0.03
1970	4053	-0.027
1971	4208	-0.186
1972	4376	-0.068
1973	4615	0.064
1974	4623	-0.212
1975	4596	-0.146
1976	4864	-0.24
1977	5026	0.045
1978	5087	-0.063
1979	5369	0.056
1980	5316	0.092
1981	5152	0.14
1982	5113	0.012
1983	5095	0.193
1984	5283	-0.013
1985	5441	-0.029
1986	5609	0.046
1987	5755	0.191
1988	5968	0.201
1989	6088	0.121
1990	6151	0.297
1991	6239	0.254
1992	6178	0.105
1993	6172	0.145
1994	6284	0.206
1995	6422	0.321
1996	6550	0.182
1997	6663	0.389
1998	6638	0.536
1999	6584	0.307
2000	6750	0.295
2001	6916	0.44
2002	6981	0.496
2003	7397	0.509
2004	7782	0.45
2005	8086	0.544
2006	8350	0.505
2007	8543	0.493
2008	8749	0.395
2009		0.506
2010		0.559
2011		0.422
2012		0.47
2013		0.499
2014		0.567
2015		0.746
