Parameter	Chlorophyll_a	Basin	LARGE_basin
Chlorophyll_a	0,20	Arkona	Arkona
Chlorophyll_a	0,25	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,30	Arkona	Arkona
Chlorophyll_a	0,40	Arkona	Arkona
Chlorophyll_a	0,40	Arkona	Arkona
Chlorophyll_a	0,40	Arkona	Arkona
Chlorophyll_a	0,40	Arkona	Arkona
Chlorophyll_a	0,40	Arkona	Arkona
Chlorophyll_a	0,40	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,50	Arkona	Arkona
Chlorophyll_a	0,59	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,60	Arkona	Arkona
Chlorophyll_a	0,67	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,70	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,80	Arkona	Arkona
Chlorophyll_a	0,84	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,90	Arkona	Arkona
Chlorophyll_a	0,92	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,00	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,10	Arkona	Arkona
Chlorophyll_a	1,18	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Arkona	Arkona
Chlorophyll_a	1,20	Oresund 	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,30	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,40	Arkona	Arkona
Chlorophyll_a	1,47	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,50	Arkona	Arkona
Chlorophyll_a	1,60	Arkona	Arkona
