Income	Degree	GENDER
70	HS	F
70	HS	M
70	HS	F
70	HS	F
71	HS	F
71	HS	F
71	HS	F
71	HS	F
72	HS	F
72	HS	F
72	HS	F
72	HS	F
72	HS	F
73	HS	F
73	HS	F
74	HS	F
74	HS	F
74	HS	F
75	HS	F
75	HS	F
76	BSC	M
76	BSC	M
77	BSC	M
77	BSC	M
77	BSC	M
77	BSC	M
77	BSC	M
77	BSC	F
77	BSC	F
78	BSC	F
78	BSC	F
78	HS	F
78	HS	M
79	HS	M
79	MSC	M
80	MSC	M
80	MSC	M
80	MSC	F
80	BSC	F
81	BSC	F
81	BSC	F
81	BSC	M
81	BSC	M
83	BSC	M
83	BSC	F
83	BSC	F
85	BSC	F
86	BSC	F
86	BSC	F
86	BSC	F
86	BSC	F
87	HS	F
87	PHD	F
88	PHD	M
88	MSC	M
88	MSC	M
89	MSC	M
90	MSC	M
90	MSC	M
90	BSC	M
91	BSC	M
91	MSC	M
92	MSC	M
92	MSC	M
92	MSC	M
93	BSC	M
93	HS	M
93	BSC	M
94	BSC	M
94	BSC	M
95	BSC	M
95	MSC	M
95	MSC	M
95	BSC	M
96	PHD	M
96	PHD	M
96	PHD	M
96	PHD	M
96	BSC	M
96	HS	M
97	PHD	M
98	BSC	M
98	MSC	M
98	PHD	M
98	PHD	M
99	BSC	M
99	MSC	M
99	MSC 	M
99	PHD	F
100	BSC	F
100	BSC	F
100	MSC	F
100	MSC	F
100	MSC	F
101	BSC	F
101	BSC	F
101	MSC	F
101	BSC	M
101	MSC	M
101	BSC	M
101	MSC	M
101	MSC	M
101	HS	M
101	BSC	M
101	PHD	M
102	MSC	M
102	BSC	M
102	HS	M
102	BSC	M
102	MSC	M
102	BSC	M
103	MSC	F
103	MSC	M
104	HS	F
104	MSC	M
105	BSC	M
105	PHD	M
105	PHD	M
105	PHD	F
